id,scenario,browser,viewport,providerMode,passCriteria
BR-001,admin_sync_expose,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-002,admin_bulk_expose,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-003,unexpose_plan_warning,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-004,free_plan_picker,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-005,paid_plan_picker,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-006,plan_save_reload,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-007,non_admin_forbidden,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-008,free_user_catalog,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-009,paid_user_catalog,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-010,upgrade_refresh,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-011,downgrade_refresh,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-012,auto_entitlement,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-013,compare_entitlement,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-014,judge_entitlement,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-015,forged_api_denied,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-016,admin_sync_expose,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-017,admin_bulk_expose,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-018,unexpose_plan_warning,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-019,free_plan_picker,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-020,paid_plan_picker,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-021,plan_save_reload,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-022,non_admin_forbidden,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-023,free_user_catalog,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-024,paid_user_catalog,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-025,upgrade_refresh,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-026,downgrade_refresh,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-027,auto_entitlement,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-028,compare_entitlement,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-029,judge_entitlement,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-030,forged_api_denied,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-031,admin_sync_expose,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-032,admin_bulk_expose,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-033,unexpose_plan_warning,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-034,free_plan_picker,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-035,paid_plan_picker,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-036,plan_save_reload,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-037,non_admin_forbidden,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-038,free_user_catalog,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-039,paid_user_catalog,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-040,upgrade_refresh,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-041,downgrade_refresh,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-042,auto_entitlement,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-043,compare_entitlement,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-044,judge_entitlement,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-045,forged_api_denied,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-046,admin_sync_expose,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-047,admin_bulk_expose,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-048,unexpose_plan_warning,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-049,free_plan_picker,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-050,paid_plan_picker,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-051,plan_save_reload,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-052,non_admin_forbidden,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-053,free_user_catalog,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-054,paid_user_catalog,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-055,upgrade_refresh,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-056,downgrade_refresh,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-057,auto_entitlement,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-058,compare_entitlement,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-059,judge_entitlement,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-060,forged_api_denied,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-061,admin_sync_expose,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-062,admin_bulk_expose,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-063,unexpose_plan_warning,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-064,free_plan_picker,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-065,paid_plan_picker,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-066,plan_save_reload,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-067,non_admin_forbidden,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-068,free_user_catalog,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-069,paid_user_catalog,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-070,upgrade_refresh,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-071,downgrade_refresh,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-072,auto_entitlement,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-073,compare_entitlement,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-074,judge_entitlement,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-075,forged_api_denied,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-076,admin_sync_expose,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-077,admin_bulk_expose,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-078,unexpose_plan_warning,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-079,free_plan_picker,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-080,paid_plan_picker,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-081,plan_save_reload,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-082,non_admin_forbidden,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-083,free_user_catalog,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-084,paid_user_catalog,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-085,upgrade_refresh,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-086,downgrade_refresh,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-087,auto_entitlement,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-088,compare_entitlement,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-089,judge_entitlement,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-090,forged_api_denied,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-091,admin_sync_expose,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-092,admin_bulk_expose,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-093,unexpose_plan_warning,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-094,free_plan_picker,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-095,paid_plan_picker,firefox,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-096,plan_save_reload,webkit,mobile,mocked-provider,correct catalog + backend authz + no console error
BR-097,non_admin_forbidden,chromium,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-098,free_user_catalog,firefox,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-099,paid_user_catalog,webkit,desktop,mocked-provider,correct catalog + backend authz + no console error
BR-100,upgrade_refresh,chromium,mobile,mocked-provider,correct catalog + backend authz + no console error
